"source","client","idx","dt_ns"
"present","workspace","0","60841500"
"present","workspace","1","14247800"
"present","workspace","2","53260500"
"present","workspace","3","23102100"
"present","workspace","4","15104400"
"present","workspace","5","15798700"
"present","workspace","6","16604100"
"present","workspace","7","14014000"
"present","workspace","8","17065400"
"present","workspace","9","18915100"
"present","workspace","10","15656500"
"present","workspace","11","16932500"
"present","workspace","12","16544100"
"present","workspace","13","14852200"
"present","workspace","14","19468700"
"present","workspace","15","16160300"
"present","workspace","16","15050500"
"present","workspace","17","16260900"
"present","workspace","18","19034900"
"present","workspace","19","17482000"
"present","workspace","20","16012200"
"present","workspace","21","16022400"
"present","workspace","22","15103400"
"present","workspace","23","16920700"
"present","workspace","24","17493500"
"present","workspace","25","13987800"
"present","workspace","26","18904800"
"present","workspace","27","17377000"
"present","workspace","28","15143800"
"present","workspace","29","16559400"
"present","workspace","30","17422100"
"present","workspace","31","16209500"
"present","workspace","32","16919000"
"present","workspace","33","16268200"
"present","workspace","34","15753400"
"present","workspace","35","19111100"
"present","workspace","36","17733500"
"present","workspace","37","17325100"
"present","workspace","38","15982300"
"present","workspace","39","14464900"
"present","workspace","40","19907700"
"present","workspace","41","14960300"
"present","workspace","42","16633800"
"present","workspace","43","14700300"
"present","workspace","44","16856300"
"present","workspace","45","17176000"
"present","workspace","46","17362800"
"present","workspace","47","16896900"
"present","workspace","48","21219600"
"present","workspace","49","15150400"
"present","workspace","50","15979800"
"present","workspace","51","15882700"
"present","workspace","52","15259000"
"present","workspace","53","15852600"
"present","workspace","54","16998800"
"present","workspace","55","17376900"
"present","workspace","56","14462100"
"present","workspace","57","18239000"
"present","workspace","58","15278400"
"present","workspace","59","21233900"
"present","workspace","60","14221900"
"present","workspace","61","16398400"
"present","workspace","62","15089200"
"present","workspace","63","19628400"
"present","workspace","64","15214400"
"present","workspace","65","17167400"
"present","workspace","66","15426000"
"present","workspace","67","16244300"
"present","workspace","68","16488800"
"present","workspace","69","16720000"
"present","workspace","70","15675000"
"present","workspace","71","17882600"
"present","workspace","72","14449000"
"present","workspace","73","23083900"
"present","workspace","74","14471200"
"present","workspace","75","15785900"
"present","workspace","76","19110900"
"present","workspace","77","18085200"
"present","workspace","78","16589100"
"present","workspace","79","15099700"
"present","workspace","80","14856200"
"present","workspace","81","14717700"
"present","workspace","82","17473900"
"present","workspace","83","14697200"
"present","workspace","84","17444000"
"present","workspace","85","17857800"
"present","workspace","86","15756400"
"present","workspace","87","15958000"
"present","workspace","88","18912200"
"present","workspace","89","15844400"
"present","workspace","90","15902500"
"present","workspace","91","17547900"
"present","workspace","92","15301700"
"present","workspace","93","19011000"
"present","workspace","94","16845000"
"present","workspace","95","14907600"
"present","workspace","96","20592300"
"present","workspace","97","15966200"
"present","workspace","98","15839100"
"present","workspace","99","15067700"
"present","workspace","100","16315000"
"present","workspace","101","16483200"
"present","workspace","102","16258900"
"present","workspace","103","18134100"
"present","workspace","104","15329200"
"present","workspace","105","17586000"
"present","workspace","106","14393700"
"present","workspace","107","17325500"
"present","workspace","108","17430100"
"present","workspace","109","20746600"
"present","workspace","110","13964700"
"present","workspace","111","15204500"
"present","workspace","112","15904800"
"present","workspace","113","17655600"
"present","workspace","114","17359100"
"present","workspace","115","14631200"
"present","workspace","116","17608600"
"present","workspace","117","16327200"
"present","workspace","118","17681500"
"present","workspace","119","17748000"
"present","workspace","120","16115900"
"present","workspace","121","14675000"
"present","workspace","122","17342100"
"present","workspace","123","17696300"
"present","workspace","124","16360800"
"present","workspace","125","16624000"
"present","workspace","126","16563800"
"present","workspace","127","16805000"
"present","workspace","128","18477300"
"present","workspace","129","14487000"
"present","workspace","130","15421200"
"present","workspace","131","16929900"
"present","workspace","132","18615700"
"present","workspace","133","16131800"
"present","workspace","134","16603000"
"present","workspace","135","18688600"
"present","workspace","136","14955400"
