"source","client","idx","dt_ns"
"present","workspace","0","31716400"
"present","workspace","1","15732200"
"present","workspace","2","24313000"
"present","workspace","3","25824800"
"present","workspace","4","15159000"
"present","workspace","5","18056100"
"present","workspace","6","17989300"
"present","workspace","7","14741800"
"present","workspace","8","16720700"
"present","workspace","9","17687100"
"present","workspace","10","17000600"
"present","workspace","11","16743600"
"present","workspace","12","15115700"
"present","workspace","13","16678700"
"present","workspace","14","17438300"
"present","workspace","15","17070900"
"present","workspace","16","16085000"
"present","workspace","17","16046400"
"present","workspace","18","17864300"
"present","workspace","19","14815900"
"present","workspace","20","18282300"
"present","workspace","21","16502500"
"present","workspace","22","17898700"
"present","workspace","23","16803600"
"present","workspace","24","14725200"
"present","workspace","25","18212300"
"present","workspace","26","16685100"
"present","workspace","27","15736300"
"present","workspace","28","17261100"
"present","workspace","29","16719700"
"present","workspace","30","16858600"
"present","workspace","31","15436600"
"present","workspace","32","16805600"
"present","workspace","33","16687900"
"present","workspace","34","18397300"
"present","workspace","35","15516300"
"present","workspace","36","17604900"
"present","workspace","37","15863400"
"present","workspace","38","16450400"
"present","workspace","39","18553800"
"present","workspace","40","15806400"
"present","workspace","41","16562500"
"present","workspace","42","16369900"
"present","workspace","43","17106900"
"present","workspace","44","16920200"
"present","workspace","45","16377600"
"present","workspace","46","18007400"
"present","workspace","47","16187500"
"present","workspace","48","16192500"
"present","workspace","49","17618100"
"present","workspace","50","16355100"
"present","workspace","51","15997900"
"present","workspace","52","16944900"
"present","workspace","53","15654000"
"present","workspace","54","18857800"
"present","workspace","55","16559400"
"present","workspace","56","16990300"
"present","workspace","57","16434100"
"present","workspace","58","15525100"
"present","workspace","59","16855300"
"present","workspace","60","16710900"
"present","workspace","61","16468100"
"present","workspace","62","16425800"
"present","workspace","63","17137500"
"present","workspace","64","16470700"
"present","workspace","65","16981400"
"present","workspace","66","16958500"
"present","workspace","67","16150600"
"present","workspace","68","16122400"
"present","workspace","69","17334900"
"present","workspace","70","17353800"
"present","workspace","71","15434800"
"present","workspace","72","16036000"
"present","workspace","73","14596000"
"present","workspace","74","19427600"
"present","workspace","75","15697800"
"present","workspace","76","16780500"
"present","workspace","77","15490700"
"present","workspace","78","15972900"
"present","workspace","79","19456400"
"present","workspace","80","15856600"
"present","workspace","81","14168300"
"present","workspace","82","20997700"
"present","workspace","83","16290100"
"present","workspace","84","15764300"
"present","workspace","85","16411900"
"present","workspace","86","17682200"
"present","workspace","87","14092200"
"present","workspace","88","21015900"
"present","workspace","89","14891500"
"present","workspace","90","15126200"
"present","workspace","91","16156400"
"present","workspace","92","16883900"
"present","workspace","93","15901100"
"present","workspace","94","15298800"
"present","workspace","95","18259600"
"present","workspace","96","18518000"
"present","workspace","97","15459700"
"present","workspace","98","17309200"
"present","workspace","99","15307600"
"present","workspace","100","17477900"
"present","workspace","101","16042800"
"present","workspace","102","16112900"
"present","workspace","103","16542800"
"present","workspace","104","19084000"
"present","workspace","105","16181400"
"present","workspace","106","19529000"
"present","workspace","107","15152000"
"present","workspace","108","16530100"
"present","workspace","109","16907800"
"present","workspace","110","16196400"
"present","workspace","111","16194300"
"present","workspace","112","16863200"
"present","workspace","113","16728500"
"present","workspace","114","16923300"
"present","workspace","115","15911600"
"present","workspace","116","16492600"
"present","workspace","117","16878000"
"present","workspace","118","16712000"
"present","workspace","119","16185200"
"present","workspace","120","15864300"
"present","workspace","121","15501300"
"present","workspace","122","17296900"
"present","workspace","123","17360700"
"present","workspace","124","17478100"
"present","workspace","125","15281800"
"present","workspace","126","17831800"
"present","workspace","127","15947600"
"present","workspace","128","18021400"
"present","workspace","129","16575400"
"present","workspace","130","16433800"
"present","workspace","131","14800100"
"present","workspace","132","18249200"
"present","workspace","133","16788900"
"present","workspace","134","16888500"
"present","workspace","135","15305200"
"present","workspace","136","18607800"
"present","workspace","137","15433000"
"present","workspace","138","16372400"
"present","workspace","139","17098900"
"present","workspace","140","14904800"
"present","workspace","141","17438900"
"present","workspace","142","17819400"
"present","workspace","143","16625400"
"present","workspace","144","17106200"
"present","workspace","145","16031800"
"present","workspace","146","18595400"
"present","workspace","147","15150800"
"present","workspace","148","16647400"
"present","workspace","149","16551800"
"present","workspace","150","16864100"
"present","workspace","151","16397600"
"present","workspace","152","16124500"
"present","workspace","153","14421800"
"present","workspace","154","20444100"
"present","workspace","155","15594400"
"present","workspace","156","18257700"
"present","workspace","157","15383000"
"present","workspace","158","16388100"
"present","workspace","159","17179100"
"present","workspace","160","17079600"
"present","workspace","161","16052900"
"present","workspace","162","15613600"
"present","workspace","163","16470000"
"present","workspace","164","15328600"
"present","workspace","165","16519700"
"present","workspace","166","20610500"
"present","workspace","167","16052800"
"present","workspace","168","16219600"
"present","workspace","169","16114800"
"present","workspace","170","15496100"
"present","workspace","171","16744500"
"present","workspace","172","16294600"
"present","workspace","173","18079100"
"present","workspace","174","14977000"
"present","workspace","175","16824900"
"present","workspace","176","19224500"
"present","workspace","177","14776200"
"present","workspace","178","16827900"
"present","workspace","179","16352700"
"present","workspace","180","16956800"
"present","workspace","181","16077200"
"present","workspace","182","23083200"
"present","workspace","183","27565600"
"present","workspace","184","17276200"
"present","workspace","185","17079700"
"present","workspace","186","15519600"
"present","workspace","187","18007100"
"present","workspace","188","15645500"
"present","workspace","189","14907700"
"present","workspace","190","18491300"
"present","workspace","191","14605000"
"present","workspace","192","17348000"
"present","workspace","193","17491200"
"present","workspace","194","16889700"
"present","workspace","195","16229200"
"present","workspace","196","17261000"
"present","workspace","197","16387700"
"present","workspace","198","17423100"
"present","workspace","199","15468000"
"present","workspace","200","17967700"
"present","workspace","201","16571400"
"present","workspace","202","17021100"
"present","workspace","203","16186900"
"present","workspace","204","14562800"
"present","workspace","205","18141100"
"present","workspace","206","15973300"
"present","workspace","207","18536200"
"present","workspace","208","16614200"
"present","workspace","209","15558000"
"present","workspace","210","15839600"
"present","workspace","211","17845300"
"present","workspace","212","15576900"
"present","workspace","213","16275700"
"present","workspace","214","18475000"
"present","workspace","215","16291800"
"present","workspace","216","16549800"
"present","workspace","217","15646300"
"present","workspace","218","16385100"
"present","workspace","219","16067000"
"present","workspace","220","17396800"
"present","workspace","221","15970200"
"present","workspace","222","18574400"
"present","workspace","223","17039700"
"present","workspace","224","16420500"
"present","workspace","225","14504100"
"present","workspace","226","20461500"
"present","workspace","227","16622800"
"present","workspace","228","19849100"
"present","workspace","229","14325700"
"present","workspace","230","15813600"
"present","workspace","231","15038500"
"present","workspace","232","17402000"
"present","workspace","233","16021400"
"present","workspace","234","15223100"
"present","workspace","235","15872600"
"present","workspace","236","19158800"
"present","workspace","237","16037400"
"present","workspace","238","16651400"
"present","workspace","239","15636200"
"present","workspace","240","17411000"
"present","workspace","241","15007500"
"present","workspace","242","19460300"
"present","workspace","243","15078900"
"present","workspace","244","17216200"
"present","workspace","245","16186500"
"present","workspace","246","16992000"
"present","workspace","247","17778800"
"present","workspace","248","15608000"
"present","workspace","249","14873400"
"present","workspace","250","19085600"
"present","workspace","251","23093200"
"present","workspace","252","14443500"
"present","workspace","253","15321900"
"present","workspace","254","15137700"
"present","workspace","255","15419000"
"present","workspace","256","16171100"
"present","workspace","257","17963600"
"present","workspace","258","15949500"
"present","workspace","259","15382000"
"present","workspace","260","16971300"
"present","workspace","261","16908300"
"present","workspace","262","15456600"
"present","workspace","263","17780800"
"present","workspace","264","16175800"
"present","workspace","265","17455100"
"present","workspace","266","16014800"
"present","workspace","267","16726500"
"present","workspace","268","16019000"
"present","workspace","269","19301200"
"present","workspace","270","16282900"
"present","workspace","271","15684500"
"present","workspace","272","16411000"
"present","workspace","273","14516000"
"present","workspace","274","19926300"
"present","workspace","275","16195900"
"present","workspace","276","17062200"
"present","workspace","277","14999700"
"present","workspace","278","17988600"
"present","workspace","279","17173300"
"present","workspace","280","15069300"
"present","workspace","281","16083500"
"present","workspace","282","17482600"
"present","workspace","283","17120300"
"present","workspace","284","17824900"
"present","workspace","285","15845400"
"present","workspace","286","17263200"
"present","workspace","287","17066800"
"present","workspace","288","16904800"
"present","workspace","289","16118800"
"present","workspace","290","16379100"
"present","workspace","291","14201500"
"present","workspace","292","18923000"
"present","workspace","293","15569000"
"present","workspace","294","18660800"
"present","workspace","295","16452200"
"present","workspace","296","16540800"
"present","workspace","297","17168700"
"present","workspace","298","16776100"
"present","workspace","299","16455300"
"present","workspace","300","18066600"
"present","workspace","301","14950800"
"present","workspace","302","15491600"
"present","workspace","303","16798300"
"present","workspace","304","17307300"
"present","workspace","305","15349100"
"present","workspace","306","16792100"
"present","workspace","307","16535200"
"present","workspace","308","17304500"
"present","workspace","309","20153800"
"present","workspace","310","16698600"
"present","workspace","311","19394700"
"present","workspace","312","23669200"
"present","workspace","313","20907300"
"present","workspace","314","15655600"
"present","workspace","315","16063000"
"present","workspace","316","18769400"
"present","workspace","317","16221000"
"present","workspace","318","15538200"
"present","workspace","319","17102400"
"present","workspace","320","16705200"
"present","workspace","321","16462700"
"present","workspace","322","15227500"
"present","workspace","323","19946600"
"present","workspace","324","16934100"
"present","workspace","325","16006200"
"present","workspace","326","16833600"
"present","workspace","327","16061400"
"present","workspace","328","15547700"
"present","workspace","329","18501500"
"present","workspace","330","16099900"
"present","workspace","331","18813500"
"present","workspace","332","16778500"
"present","workspace","333","18483100"
"present","workspace","334","18854000"
"present","workspace","335","15928300"
"present","workspace","336","22061300"
"present","workspace","337","28434900"
"present","workspace","338","16504900"
"present","workspace","339","16035200"
"present","workspace","340","18840600"
"present","workspace","341","16728900"
"present","workspace","342","17307800"
"present","workspace","343","18990800"
"present","workspace","344","23916400"
"present","workspace","345","17467500"
"present","workspace","346","16837900"
"present","workspace","347","16742900"
"present","workspace","348","20630100"
"present","workspace","349","17058900"
"present","workspace","350","17399700"
"present","workspace","351","16092100"
"present","workspace","352","15599300"
"present","workspace","353","16754000"
"present","workspace","354","21332400"
"present","workspace","355","25217600"
"present","workspace","356","19568700"
"present","workspace","357","17385200"
"present","workspace","358","38742100"
"present","workspace","359","24964200"
"present","workspace","360","20337700"
"present","workspace","361","18023600"
"present","workspace","362","25111300"
"present","workspace","363","39671400"
"present","workspace","364","18175800"
"present","workspace","365","16864400"
"present","workspace","366","18784100"
"present","workspace","367","24860400"
"present","workspace","368","19225600"
"present","workspace","369","17825900"
"present","workspace","370","20564700"
"present","workspace","371","17313000"
"present","workspace","372","17676500"
"present","workspace","373","16119800"
"present","workspace","374","16104700"
"present","workspace","375","23314400"
"present","workspace","376","21299700"
