"source","client","idx","dt_ns"
"present","workspace","0","26489200"
"present","workspace","1","26093600"
"present","workspace","2","25662300"
"present","workspace","3","25240900"
"present","workspace","4","13755700"
"present","workspace","5","14517500"
"present","workspace","6","13976300"
"present","workspace","7","14397900"
"present","workspace","8","15260500"
"present","workspace","9","14001600"
"present","workspace","10","14052200"
"present","workspace","11","14006500"
"present","workspace","12","14481300"
"present","workspace","13","13957400"
"present","workspace","14","13985800"
"present","workspace","15","14549900"
"present","workspace","16","14162100"
"present","workspace","17","14305100"
"present","workspace","18","14991200"
"present","workspace","19","14632900"
"present","workspace","20","14874200"
"present","workspace","21","14941800"
"present","workspace","22","16035600"
"present","workspace","23","16290500"
"present","workspace","24","17494100"
"present","workspace","25","16809500"
"present","workspace","26","16887300"
"present","workspace","27","16964000"
"present","workspace","28","17226000"
"present","workspace","29","16167600"
"present","workspace","30","15712500"
"present","workspace","31","17491600"
"present","workspace","32","16075400"
"present","workspace","33","16091100"
"present","workspace","34","18003600"
"present","workspace","35","15844200"
"present","workspace","36","16063900"
"present","workspace","37","17500400"
"present","workspace","38","16090000"
"present","workspace","39","17864700"
"present","workspace","40","15303200"
"present","workspace","41","17472300"
"present","workspace","42","16817800"
"present","workspace","43","18395000"
"present","workspace","44","14318200"
"present","workspace","45","17132200"
"present","workspace","46","16004800"
"present","workspace","47","17423400"
"present","workspace","48","16216700"
"present","workspace","49","16959600"
"present","workspace","50","16492100"
"present","workspace","51","17595100"
"present","workspace","52","15287800"
"present","workspace","53","16791900"
"present","workspace","54","17428100"
"present","workspace","55","16000300"
"present","workspace","56","17410100"
"present","workspace","57","15881200"
"present","workspace","58","17015700"
"present","workspace","59","17128600"
"present","workspace","60","15878200"
"present","workspace","61","16962500"
"present","workspace","62","16032700"
"present","workspace","63","17662000"
"present","workspace","64","16804000"
"present","workspace","65","17194600"
"present","workspace","66","15082600"
"present","workspace","67","17323500"
"present","workspace","68","16006900"
"present","workspace","69","17979900"
"present","workspace","70","16086400"
"present","workspace","71","15902000"
"present","workspace","72","16091000"
"present","workspace","73","17925600"
"present","workspace","74","15760700"
"present","workspace","75","16780400"
"present","workspace","76","18217300"
"present","workspace","77","15966000"
"present","workspace","78","15943300"
"present","workspace","79","17307500"
"present","workspace","80","16099900"
"present","workspace","81","17855800"
"present","workspace","82","15985900"
"present","workspace","83","16932400"
"present","workspace","84","16112800"
"present","workspace","85","16088800"
"present","workspace","86","18022200"
"present","workspace","87","16062000"
"present","workspace","88","16904100"
"present","workspace","89","17466500"
"present","workspace","90","15688100"
"present","workspace","91","16601300"
"present","workspace","92","16686000"
"present","workspace","93","17114700"
