"source","client","idx","dt_ns"
"present","workspace","0","31646400"
"present","workspace","1","15204500"
"present","workspace","2","23400900"
"present","workspace","3","31119900"
"present","workspace","4","15796700"
"present","workspace","5","17200900"
"present","workspace","6","17779300"
"present","workspace","7","15591700"
"present","workspace","8","18045100"
"present","workspace","9","15406000"
"present","workspace","10","17518000"
"present","workspace","11","15865200"
"present","workspace","12","17788600"
"present","workspace","13","15894300"
"present","workspace","14","16563500"
"present","workspace","15","15883500"
"present","workspace","16","17137000"
"present","workspace","17","16586400"
"present","workspace","18","16851200"
"present","workspace","19","15734400"
"present","workspace","20","16884700"
"present","workspace","21","17980700"
"present","workspace","22","15212300"
"present","workspace","23","18348900"
"present","workspace","24","16835900"
"present","workspace","25","15401200"
"present","workspace","26","16024900"
"present","workspace","27","17372800"
"present","workspace","28","15821400"
"present","workspace","29","18277500"
"present","workspace","30","15062700"
"present","workspace","31","18837800"
"present","workspace","32","14796500"
"present","workspace","33","17316500"
"present","workspace","34","17909700"
"present","workspace","35","15448300"
"present","workspace","36","16963700"
"present","workspace","37","16443900"
"present","workspace","38","16041400"
"present","workspace","39","17319100"
"present","workspace","40","16519700"
"present","workspace","41","16996000"
"present","workspace","42","18241300"
"present","workspace","43","15807700"
"present","workspace","44","15467400"
"present","workspace","45","16448600"
"present","workspace","46","17056800"
"present","workspace","47","16491400"
"present","workspace","48","17077800"
"present","workspace","49","15914100"
"present","workspace","50","16329600"
"present","workspace","51","17713400"
"present","workspace","52","16466100"
"present","workspace","53","17018800"
"present","workspace","54","17119600"
"present","workspace","55","15321100"
"present","workspace","56","16329400"
"present","workspace","57","16966700"
"present","workspace","58","16059200"
"present","workspace","59","6689900"
"present","workspace","60","12273400"
"present","workspace","61","31197100"
"present","workspace","62","18539100"
"present","workspace","63","13995300"
"present","workspace","64","20378800"
"present","workspace","65","14306800"
"present","workspace","66","17170400"
"present","workspace","67","15334100"
"present","workspace","68","18328900"
"present","workspace","69","14908900"
"present","workspace","70","18583700"
"present","workspace","71","16680900"
"present","workspace","72","17485500"
"present","workspace","73","13011700"
"present","workspace","74","5503200"
"present","workspace","75","29206600"
"present","workspace","76","18290400"
"present","workspace","77","16510900"
"present","workspace","78","15998700"
"present","workspace","79","15645100"
"present","workspace","80","18610900"
"present","workspace","81","15739400"
"present","workspace","82","16835800"
"present","workspace","83","17695600"
"present","workspace","84","15018700"
"present","workspace","85","18034000"
"present","workspace","86","16589000"
"present","workspace","87","15455800"
"present","workspace","88","18169100"
"present","workspace","89","15210700"
"present","workspace","90","16296500"
"present","workspace","91","17095100"
"present","workspace","92","2382200"
"present","workspace","93","16893200"
"present","workspace","94","29161800"
"present","workspace","95","19621700"
